"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"SYR",7,2011,0.06332895966362848,15.8139377537973
"SYR",8,2011,5.53532622840494790,1650.37383296179240
"SYR",9,2011,0.25395219800130210,69.257560491902114
"SYR",10,2011,53.71373156469615029,15332.648045634643602
"SYR",11,2011,79.24092433588321405,23187.44275137954472
"SYR",13,2011,0.7076752155957032,189.71682635571806
"SYR",14,2011,8.55059979776692694,2362.040500665374483
"SYR",1,2012,1.4891133838237851,422.8015971300573
"SYR",2,2012,16.88750997818359342,4462.236547987970134
"SYR",3,2012,2.31749506080946208,674.420642839567835
"SYR",7,2012,1.31905382987196183,401.8402243772048806
"SYR",8,2012,207.6898044467902803,53801.6846844109949193
"SYR",9,2012,2.92378841510633687,778.204332136827134
"SYR",10,2012,1106.75922474555746418,294709.076606911443137
