,region,shapeGroup,shapeType,crop_area_ha,Admin1,Admin2
60,Milh,SYR,ADM3,"28,002.19",As-Sweida,Salkhad
61,As-Sweida,SYR,ADM3,"11,337.97",As-Sweida,As-Sweida
62,Mazra'a,SYR,ADM3,"4,988.16",As-Sweida,As-Sweida
63,Mashnaf,SYR,ADM3,"91,937.83",As-Sweida,As-Sweida
64,Fiq,SYR,ADM3,"10,752.76",Quneitra,Al Fiq
65,Al-Butayhah,SYR,ADM3,"1,604.71",Quneitra,Al Fiq
66,Quneitra,SYR,ADM3,"3,624.92",Quneitra,Quneitra
67,Khan Arnaba,SYR,ADM3,"5,979.41",Quneitra,Quneitra
68,Al-Khashniyyeh,SYR,ADM3,"6,830.04",Quneitra,Quneitra
69,Masaada,SYR,ADM3,"2,220.68",Quneitra,Quneitra
70,Kansaba,SYR,ADM3,189.92,Lattakia,Al-Haffa
71,Salanfa,SYR,ADM3,451.64,Lattakia,Al-Haffa
72,Mzair'a,SYR,ADM3,493.07,Lattakia,Al-Haffa
73,Ein Et-teeneh,SYR,ADM3,174.89,Lattakia,Al-Haffa
74,Al-Haffa,SYR,ADM3,598.89,Lattakia,Al-Haffa
75,Fakhura,SYR,ADM3,487.85,Lattakia,Al-Qardaha
76,Jobet Berghal,SYR,ADM3,130.55,Lattakia,Al-Qardaha
77,Al-Qardaha,SYR,ADM3,527.36,Lattakia,Al-Qardaha
78,Harf Elmseitra,SYR,ADM3,38.13,Lattakia,Al-Qardaha
79,Jablah,SYR,ADM3,"1,196.22",Lattakia,Jablah
80,Qteilbiyyeh,SYR,ADM3,330.46,Lattakia,Jablah
81,Ein Shaqaq,SYR,ADM3,616.24,Lattakia,Jablah
82,Dalyeh,SYR,ADM3,60.31,Lattakia,Jablah
83,Ein Elsharqiyeh,SYR,ADM3,69.81,Lattakia,Jablah
84,Beit Yashout,SYR,ADM3,22.8,Lattakia,Jablah
85,Rabee'a,SYR,ADM3,275.98,Lattakia,Lattakia
86,Bahlolieh,SYR,ADM3,526.19,Lattakia,Lattakia
87,Ein El-Bayda,SYR,ADM3,"1,034.08",Lattakia,Lattakia
88,Kasab,SYR,ADM3,61.43,Lattakia,Lattakia
89,Hanadi,SYR,ADM3,793.39,Lattakia,Lattakia
90,Qastal Maaf,SYR,ADM3,"1,020.43",Lattakia,Lattakia
91,Lattakia,SYR,ADM3,"1,761.18",Lattakia,Lattakia
92,Aghtrin,SYR,ADM3,"29,963.47",Aleppo,A'zaz
93,Suran,SYR,ADM3,"14,757.88",Aleppo,A'zaz
94,Suran,SYR,ADM3,"14,757.88",Hama,Hama
95,A'zaz,SYR,ADM3,"12,994.05",Aleppo,A'zaz
96,Mare',SYR,ADM3,"16,059.98",Aleppo,A'zaz
97,Tall Refaat,SYR,ADM3,"17,413.69",Aleppo,A'zaz
98,Nabul,SYR,ADM3,"6,813.91",Aleppo,A'zaz
99,Ar-Ra'ee,SYR,ADM3,"31,825.29",Aleppo,Al Bab
100,A'rima,SYR,ADM3,"25,763.64",Aleppo,Al Bab
101,Al Bab,SYR,ADM3,"39,026.70",Aleppo,Al Bab
102,Tadaf,SYR,ADM3,"28,190.05",Aleppo,Al Bab
103,Rasm Haram El-Imam,SYR,ADM3,"17,289.07",Aleppo,Al Bab
104,Dayr Hafir,SYR,ADM3,"9,569.47",Aleppo,Al Bab
105,Eastern Kwaires,SYR,ADM3,"18,966.02",Aleppo,Al Bab
106,As-Safira,SYR,ADM3,"42,348.60",Aleppo,As-Safira
107,Banan,SYR,ADM3,"10,469.07",Aleppo,As-Safira
108,Hajeb,SYR,ADM3,"16,448.73",Aleppo,As-Safira
109,Khanaser,SYR,ADM3,"62,673.92",Aleppo,As-Safira
110,Tall Ed-daman,SYR,ADM3,"93,487.44",Aleppo,Jebel Saman
111,Hadher,SYR,ADM3,"9,961.60",Aleppo,Jebel Saman
112,Zarbah,SYR,ADM3,"27,583.91",Aleppo,Jebel Saman
113,Daret Azza,SYR,ADM3,"3,655.96",Aleppo,Jebel Saman
114,Atareb,SYR,ADM3,"15,540.44",Aleppo,Jebel Saman
115,Haritan,SYR,ADM3,"13,843.46",Aleppo,Jebel Saman
116,Jebel Saman,SYR,ADM3,"34,573.72",Aleppo,Jebel Saman
117,Jarablus,SYR,ADM3,"20,134.36",Aleppo,Jarablus
118,Ghandorah,SYR,ADM3,"24,473.93",Aleppo,Jarablus
119,Bulbul,SYR,ADM3,"4,276.90",Aleppo,Afrin
120,Raju,SYR,ADM3,"5,479.97",Aleppo,Afrin
121,Ma'btali,SYR,ADM3,"7,284.45",Aleppo,Afrin
122,Sheikh El-Hadid,SYR,ADM3,"2,451.02",Aleppo,Afrin
123,Jandairis,SYR,ADM3,"16,089.31",Aleppo,Afrin
124,Sharan,SYR,ADM3,"10,993.76",Aleppo,Afrin
125,Afrin,SYR,ADM3,"17,601.64",Aleppo,Afrin
